__token__,__occurence__
voyant,155
prosterna,44
seigneurs,8
entrez,12
lavez,2
lèverez,2
poursuivrez,3
route.,1
passerons,5
place.,1
d'instances,2
entrèrent,33
prépara,5
festin,33
cuire,20
pains,91
levain,64
n'étaient,22
couchés,16
entourèrent,3
vieillards,39
bouts,7
appelèrent,6
entrés,41
Fais-les,3
connaissions.,1
fermé,22
faites,161
n'ont,154
connu,73
laissez-moi,3
amener,17
ferez,83
plaira,5
s'abriter,4
toit.,1
Ote-toi,3
ajoutèrent,2
Cet,46
individu,1
ferons,28
repoussant,2
s'avancèrent,14
briser,11
étendirent,5
retiré,25
frappèrent,28
d'aveuglement,5
ceux-ci,51
fatiguèrent,1
inutilement,3
chercher,72
Gendres,1
aies,13
allons,21
s'est,316
habitants,259
envoyés,60
détruire.,1
gendres,2
Levez-vous,17
dit-il,41
sortez,13
va,204
ville.,2
parut,21
plaisanter,1
l'aube,1
pressèrent,3
périsses,3
châtiment,34
tardait,3
voulait,27
l'épargner,1
l'emmenèrent,14
mirent,93
Lorsqu'ils,42
Sauve-toi,1
t'arrête,2
nulle,6
Plaine,9
sauve-toi,6
périsses.,1
acte,8
bonté,119
conservant,2
puis,192
sauver,62
risquer,1
d'être,90
atteint,24
destruction,20
Voyez,27
assez,49
proche,55
m'y,11
réfugier,6
chose,238
permettez,1
sauve,38
n'est-elle,9
petite,20
vive.,1
t'accorde,2
parles,7
Hâte-toi,7
t'y,2
arrivé.,1
soufre,15
détruisit,12
plantes,7
colonne,34
sel,26
rendit,76
tenu,25
l'étendue,11
monter,148
fumée,43
fournaise,13
bouleversement,2
bouleversa,2
monta,115
s'établit,13
craignait,10
rester,23
caverne,38
L'aînée,2
Notre,26
l'usage,7
Viens,48
boire,122
couchons,1
conservions,2
Elles,55
nuit-là,15
l'aînée,5
coucher,35
s'aperçut,4
lever,53
lendemain,70
dernière,15
faisons-lui,1
Cette,50
cadette,5
enceintes,9
nomma,38
Moab,159
Moabites,14
existent,3
Ben-Ammi,1
d'Ammon,101
séjour,47
disait,126
soeur.,1
Abimélech,57
envoya,217
songe,50
mari.,2
approché,11
ferez-vous,7
innocents,7
m'a-t-il,1
sœur,26
pures,12
cela.,1
agi,44
t'ai-je,8
retenu,12
pécher,37
permis,40
touches,1
rends,33
prophète,227
priera,2
vivras,12
sache,44
certainement,43
t'appartiennent.,1
rapporta,25
choses,535
saisis,41
frayeur,20
ai-je,20
manqué,7
royaume,199
font,139
pensé,4
agissant,8
disais,28
doute,10
crainte,153
tuera,14
d'ailleurs,4
quoiqu'elle,2
devenue,41
errer,11
dis,384
lieux,138
arriverons,2
frère.,3
bœufs,31
plaira.,1
mille,466
pièces,31
voile,68
voilà,93
justifiée.,1
intercéda,1
guérit,24
rendu,96
d'Abimélech,7
visita,3
accomplit,8
promis,29
terme,20
marqué,7
enfanté,31
d'Isaac,36
rire,10
l'apprendra,7
rira,2
sujet.,1
allaitera,1
vieillesse.,1
L'enfant,10
grandit,7
sevra,3
sevré,7
d'Agar,1
l'Égyptienne,2
riait,2
Chasse,3
hériter,3
Isaac.,2
déplut,4
beaucoup,223
déplaise,1
l'enfant,95
demande,60
consens-y,1
naîtra,11
Néanmoins,7
outre,53
épaule,17
remit,21
renvoya,24
Bersabée,34
l'eau,216
l'outre,3
épuisée,5
jeta,58
arbrisseaux,1
s'asseoir,8
portée,9
d'arc,2
l'enfant.,1
s'assit,29
éleva,26
pleura,32
entendit,37
l'ange,80
relève,12
prends-le,2
nation.,1
remplir,24
tireur,1
Pharan,10
temps-là,64
accompagné,13
Phicol,3
chef,274
Jure-moi,3
tromperas,3
petits-enfants,3
auras,73
bienveillance,16
usé,10
envers,134
jurerai.,1
reproches,6
emparés,4
force,225
j'ignore,8
toi-même,42
informé,8
qu'aujourd'hui.,1
mises,8
accepteras,1
témoignage,169
creusé,11
puits.,1
prêté,18
serment,92
retournèrent,38
tamaris,1
éternel,33
séjourna,8
longtemps,78
l'épreuve,21
Me,36
voici.,4
unique,21
aimes,8
