__token__,__occurence__
Astarot-Karnaim,1
Zuzɛ,1
Ha̧m,1
Emii,1
Sawe-Kiriataim,1
Hɔr,8
Sɛir,39
Ɛl-Paraŋ,1
ŋga-gbárà,319
Ɛn-Mispat,1
Kadɛs,17
Amalɛk,55
Hasasɔŋ-Tamar,2
dika,14
biro,637
naar'i,12
za̧a̧,31
kam-gìì,1
yuu,220
wi-gbin-biro,10
wi-yu-mɔ,10
wen-aa,159
hébreu,13
Ɛskɔl,6
Anɛr,3
zia'e,70
bara-biro,128
318,1
Dan,67
bìí,96
Hoba,1
Damas,55
pia-ɗoŋ,27
gbina,244
wee,662
Save,1
Ɗɔŋgɔ,4
Mɛlkisedɛk,15
Salɛm,4
brɛt,213
wi-ɗafi-sɔ̧,657
wisɛn,375
zu-mɔ,33
er-am,152
garaazi,9
nyak-ndárà,2
wanmbɔi,72
ŋgaiwi,379
ɔɔ-zu,14
Ká,312
ŋgee,67
mɔɔ-oi-tom,67
gasa-a,37
mɔɔ-oi-am,3
Eliɛzɛr,16
Ɛ́nɛ́,664
géé,282
mɔɔ-oi-mɛ,2
yí-zan,8
sɔra,72
ɗɔaa,256
usi'e,72
be-zɔŋa,72
gbadua,155
vala,211
pola,13
tan,78
see-a,64
wɔr,115
tik,536
íŋ,101
gɔŋmaa-naar,1
wi-gɔn-kita,81
sɔk,17
gun,255
yea,5
lɔk,14
gɔna'i,8
Kɛn,11
Keniz,4
Kadmɔŋ,1
Hit,46
nin-a,207
Agar,23
dora,61
koa-a,10
ŋmafara,37
ɗoŋ-aa.,2
gbara,23
naa-wan-tua,3
geemɔ,282
dara,46
da̧,102
mi'i,78
a̧.,11
Betom,41
gɔna-yì,58
Sur,11
sí,102
Ismaɛl,32
Bem,364
tuifuu-zaŋbɛɛ,9
taa,172
biti,112
yí'ɛ,1
zɔn,230
WAN'e,50
Ɛl-Roi,1
Bɛrɛd'e,1
Lahai,1
86,1
99,1
Nɔɔ-tɔk,17
‹Abraham›,1
tɛ-mɛ,325
gɛnɛ,176
kasi,258
Ɛ̧ɛ̧,60
bɔr,44
bɔr'nɛ́,4
mɔɔrɔ-ɗoŋ-taar,63
hi̧fa,41
gɔni,109
hi̧fi,93
sede,182
wi-mbii,28
Sara,42
yi,250
mama,10
mami,22
see-aa'e,4
Bíí,156
In,6
